"","GeneSymbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951","Xkr4",3.61003091567001,-3.80780490783738,1.87664656594569,-2.02904743862546,0.0424534587179603,0.0637266915668726
"ENSMUSG00000025900","Rp1",12.9245878465473,-7.1064967875411,1.63801018364996,-4.33849365435921,1.43462626374695e-05,3.31375364690798e-05
"ENSMUSG00000025902","Sox17",88.1502192663432,-3.08255406704664,0.386094762168333,-7.98393132746693,1.41744899100627e-15,6.20041383935823e-15
"ENSMUSG00000033845","Mrpl15",1082.32679085853,0.476939294634666,0.156842020221925,3.04088976895233,0.00235880170063343,0.00425725297358099
"ENSMUSG00000104217",NA,7.29274158357796,2.65751548628552,1.09151339661845,2.43470716394191,0.0149038457390954,0.0242195526812337
"ENSMUSG00000033813","Tcea1",490.642842471678,1.1889129529356,0.208743052995266,5.69558093491412,1.22952541429555e-08,3.6198957216975e-08
"ENSMUSG00000002459","Rgs20",0.559368444880344,-2.61094962690498,4.09395535804259,-0.637757229515404,0.523631725210479,NA
"ENSMUSG00000033793","Atp6v1h",813.568758237654,1.53898192405046,0.168553960371068,9.13049993404142,6.81836917422879e-20,3.57123338889245e-19
"ENSMUSG00000025907","Rb1cc1",1188.57691490083,-0.507804133796268,0.197685665498534,-2.5687453489137,0.0102067430963519,0.01697746197085
"ENSMUSG00000033740","St18",0.519086315174008,-0.850466769951629,3.8157925321868,-0.222880767960472,0.823628304861329,NA
"ENSMUSG00000051285","Pcmtd1",1780.72915392367,0.429278133978709,0.149350031752323,2.87430895689805,0.00404912652298547,0.00711298603979525
"ENSMUSG00000025909","Sntg1",48.3318600208709,1.8681484330146,0.45450400169246,4.11030139681517,3.95143013817896e-05,8.75295487184566e-05
"ENSMUSG00000061024","Rrs1",345.807705537404,0.309957686756819,0.199321223866355,1.55506614270363,0.11993031745373,0.163990348811459
"ENSMUSG00000025911","Adhfe1",1057.34277117574,0.858049812903068,0.185278610556869,4.63113259714186,3.63670867596117e-06,8.86333816999817e-06
"ENSMUSG00000025912","Mybl1",11.1412237589587,-0.528596784587858,0.783924245950266,-0.674295746455829,0.500123307754009,0.569400207030509
"ENSMUSG00000045210","Vcpip1",590.607399993607,1.04236915757429,0.213984814913623,4.8712295682993,1.1090588606987e-06,2.83067275079111e-06
"ENSMUSG00000025915","Sgk3",15.0964772523414,-0.814931459441028,0.690339911123441,-1.18047855311571,0.237809935516646,0.298953128844794
"ENSMUSG00000099032","Tcf24",7.58763374978631,-1.09106374730487,0.999735058491413,-1.09135289198647,0.275117632445476,0.339538496109637
"ENSMUSG00000025916","Ppp1r42",0.556523852602353,-3.22017202642537,4.03086424679347,-0.79887880843097,0.424360687901049,NA
"ENSMUSG00000025917","Cops5",1178.66263308044,0.453987579134564,0.146542496091734,3.09799267272187,0.00194836245828686,0.0035496272294194
"ENSMUSG00000056763","Cspp1",195.144799340855,1.6560377049957,0.235879594043443,7.02069083894853,2.20773882943988e-12,8.20701729099305e-12
"ENSMUSG00000067851","Arfgef1",2364.35424337681,-0.708425928068244,0.159304368544431,-4.4469962408511,8.70793610970223e-06,2.05291568529327e-05
"ENSMUSG00000048960","Prex2",453.36203081781,-2.99971059791776,0.208939124795728,-14.3568639949577,9.64957532896299e-47,1.11632922877044e-45
"ENSMUSG00000057715","A830018L16Rik",1.64067258414548,-1.78027509398539,2.19207466374477,-0.812141631592108,0.416710367063167,0.487163957895934
"ENSMUSG00000016918","Sulf1",261.54922578977,-4.73377485964243,0.322262753281477,-14.6891777328911,7.56259164264199e-49,9.17862370540944e-48
"ENSMUSG00000025938","Slco5a1",247.560399895,-11.338199883061,1.45719769924816,-7.7808247219378,7.20532676806684e-15,3.04750549107294e-14
"ENSMUSG00000005886","Ncoa2",1131.46375803346,-0.288623738553707,0.183880207715545,-1.56962917401201,0.116501407225967,0.159665911581903
"ENSMUSG00000025935","Tram1",2014.85637398793,2.92636455394033,0.145476575280407,20.1157096824677,5.37641438111219e-90,1.2722774000139e-88
"ENSMUSG00000025937","Lactb2",2866.15567236838,3.98624283972634,0.16786465394511,23.7467670890967,1.18657931912812e-124,4.53971996358813e-123
"ENSMUSG00000067813","Xkr9",189.920007407116,11.5849808769066,1.4632442487371,7.91732541365213,2.42674023406023e-15,1.04755676655853e-14
"ENSMUSG00000025932","Eya1",13.00019758579,-5.64280168563196,1.54765827606208,-3.64602559422207,0.000266327461638597,0.000541199805438151
"ENSMUSG00000032769","Trpa1",1.04337377063057,-2.31024062967934,3.01959270301184,-0.765083525130735,0.444221809483357,NA
"ENSMUSG00000092083","Kcnb2",21.2014084043848,6.31285163291007,1.21925832859292,5.17761616621098,2.24739007793632e-07,6.05489866573944e-07
"ENSMUSG00000025925","Terf1",137.355190651682,1.62551089356904,0.28191065633265,5.76604983548745,8.11510719939795e-09,2.42040217498466e-08
"ENSMUSG00000032719","Sbspon",4.13723645482047,2.6486667425644,1.48858373759825,1.77931995067868,0.0751873219226145,0.107561325867087
"ENSMUSG00000043716","Rpl7",5553.01330963328,1.01486780901842,0.141825573731278,7.15574619103126,8.32189912170817e-13,3.16299312558318e-12
"ENSMUSG00000025921","Rdh10",318.536299798236,1.99958476252532,0.225307362288082,8.87491976391177,6.99838482989987e-19,3.51411235595971e-18
"ENSMUSG00000025920","Stau2",396.771203789718,-2.61322546635994,0.206602439751848,-12.6485702177511,1.13929288127475e-36,1.02346250848245e-35
"ENSMUSG00000025939","Ube2w",398.272369434315,0.591542548380923,0.192415020631979,3.07430545930368,0.00210993279248549,0.00382963599204411
"ENSMUSG00000079658","Eloc",743.84726238409,0.296813214191742,0.163054373355075,1.82033273983635,0.0687083484318396,0.0991109707427321
"ENSMUSG00000025940","Tmem70",1113.98202875684,-0.722936299676034,0.156153661307816,-4.62964680828684,3.6628995893315e-06,8.92284234156157e-06
"ENSMUSG00000025779","Ly96",54.8479530554298,1.83577632274555,0.404763260403086,4.53543219539584,5.74856446396777e-06,1.3776448446717e-05
"ENSMUSG00000042686","Jph1",66.4017300619332,-7.88883098543346,1.41438520672051,-5.57756893097392,2.43903147433765e-08,7.04328744141105e-08
"ENSMUSG00000025777","Gdap1",0.344887632702618,-1.68457143452496,4.89212988480389,-0.34434315404373,0.730588234106135,NA
"ENSMUSG00000067780","Pi15",3.11007550904764,-3.96425111852681,1.92910967823843,-2.05496409211258,0.0398824731004612,0.0602091536821584
"ENSMUSG00000025776","Crispld1",3.27838336413899,-4.89516515567465,2.04884914914526,-2.38922673136615,0.0168838790670847,0.0271880774551047
"ENSMUSG00000042596","Tfap2d",0.564116554117263,-0.848400528194721,3.44030420410708,-0.24660625277901,0.805212964966076,NA
"ENSMUSG00000043760","Pkhd1",80.8870728418335,8.30732286246792,1.06948681802675,7.76757854556381,8.00007308107241e-15,3.37795802868587e-14
"ENSMUSG00000041859","Mcm3",91.9280713053731,0.212686538220448,0.309647455304122,0.686866740149878,0.492166707772301,0.561869202738539
"ENSMUSG00000025931","Paqr8",23.9100275818778,-1.89617552544564,0.609367249960715,-3.11171223193875,0.00186005718672379,0.0033998426133957
"ENSMUSG00000041809","Efhc1",11.2691871587744,-1.5684756528517,0.972415125679521,-1.612969205673,0.106751198227704,0.147860659936085
"ENSMUSG00000041779","Tram2",221.588404946835,0.84644947176496,0.236853011476501,3.57373320477684,0.000351927519482751,0.000705352403760535
"ENSMUSG00000025933","Tmem14a",72.7611485415788,1.89876729674287,0.417938287624955,4.54317623669541,5.54128861834805e-06,1.32966228323748e-05
"ENSMUSG00000025934","Gsta3",1865.48075138043,7.43980734853346,0.521729852946872,14.2598843185058,3.89098955639748e-46,4.41662474195299e-45
"ENSMUSG00000028033","Kcnq5",5.51246568217482,-0.362158453626174,1.13270352666477,-0.3197292540375,0.749173581411299,0.795228685740012
"ENSMUSG00000041670","Rims1",1.67155427052537,0.417974230887548,2.01481288605622,0.207450644067344,0.835657934481425,0.867960291075106
"ENSMUSG00000026158","Ogfrl1",378.088287798552,-0.928394993602146,0.190072931342435,-4.88441456153244,1.0373661155758e-06,2.65623523461689e-06
"ENSMUSG00000026156","B3gat2",9.06063391678337,-0.652657980364018,0.930891923432907,-0.701110369458542,0.483234139545864,0.553221798398599
"ENSMUSG00000026155","Smap1",161.371011499146,0.933302536484191,0.24473387455016,3.81354047615874,0.000136990077414054,0.000288124518897649
"ENSMUSG00000026154","Sdhaf4",299.222649737504,-0.535042481841518,0.28246843473606,-1.89416733356938,0.0582028025617256,0.085047406535038
"ENSMUSG00000026153","Fam135a",493.649904882043,0.147477735245154,0.193270867856785,0.763062415358097,0.445426173424054,0.515893518109427
"ENSMUSG00000026141","Col19a1",1.37804590914013,0.764882386563568,3.20958848703616,0.238311668194537,0.811639372110473,0.848581973345387
"ENSMUSG00000073725","Lmbrd1",1180.96423117373,0.654866647793155,0.164082393215217,3.99108420447163,6.57719208684439e-05,0.000142900826631727
